Timestamp,Age,"Q1. How often do you engage in reading (books, newspapers, articles, etc.)?  ","Q2. How often do you watch TV, movies, or online series/serial?  ",Q3. Which form of entertainment do you prefer the most?  ,Q4. How much time per day do you usually spend on entertainment (any form)?  ,Q5. Do you prefer short-form or long-form entertainment the most?,Q6. Which type of reading material do you prefer most?,Q7. What is your main purpose for entertainment?,"Q8. Has entertainment (reading, watching, or listening) ever inspired you to make a change in your life?"
8/27/2025 23:55:42,36-50,Occasionally,Daily,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 9:25:03,18-25,Occasionally,Weekly,Enjoy both equally,1-3 hours,Books/long reads/stories (several hours),Fiction books,Relaxation / stress relief,Sometimes
8/28/2025 9:37:24,18-25,Never,Daily,Watching,1-3 hours,TV episodes (20–40 mins),Fiction books,Passing time / boredom,Rarely
8/28/2025 9:41:19,18-25,Occasionally,Weekly,Watching,1-3 hours,Full-length movies (2–3 hrs),I don’t read at all,Passing time / boredom,"Yes, many times"
8/28/2025 9:48:31,18-25,Occasionally,Weekly,Enjoy both equally,3-5 hours,Full-length movies (2–3 hrs),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 9:49:06,18-25,Occasionally,Weekly,Watching,1-3 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,Sometimes
8/28/2025 10:04:45,18-25,Occasionally,Daily,Watching,1-3 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 10:25:24,18-25,Never,Daily,Enjoy both equally,More than 5 hours,TV episodes (20–40 mins),I don’t read at all,Passing time / boredom,Sometimes
8/28/2025 10:28:21,18-25,Daily,Daily,Enjoy both equally,More than 5 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 10:29:44,18-25,Weekly,Weekly,Enjoy both equally,3-5 hours,Books/long reads/stories (several hours),Non-fiction / educational books,Passing time / boredom,Rarely
8/28/2025 10:35:47,18-25,Occasionally,Weekly,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 10:36:52,18-25,Never,Occasionally,Watching,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Passing time / boredom,Rarely
8/28/2025 11:11:41,18-25,Occasionally,Occasionally,Enjoy both equally,More than 5 hours,TV episodes (20–40 mins),Fiction books,Passing time / boredom,"Yes, many times"
8/28/2025 11:19:40,18-25,Occasionally,Weekly,Watching,More than 5 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,I don’t engage much,"Yes, many times"
8/28/2025 11:33:23,18-25,Occasionally,Daily,Watching,3-5 hours,Books/long reads/stories (several hours),Fiction books,Passing time / boredom,Sometimes
8/28/2025 12:08:00,18-25,Never,Occasionally,Watching,More than 5 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Relaxation / stress relief,Never
8/28/2025 12:42:13,18-25,Never,Daily,Watching,More than 5 hours,TV episodes (20–40 mins),I don’t read at all,Relaxation / stress relief,Sometimes
8/28/2025 12:59:56,18-25,Occasionally,Weekly,Watching,3-5 hours,Full-length movies (2–3 hrs),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 17:06:58,18-25,Occasionally,Weekly,Watching,3-5 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Passing time / boredom,Sometimes
8/28/2025 17:11:14,18-25,Never,Daily,Watching,More than 5 hours,Full-length movies (2–3 hrs),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 17:19:08,Below 18,Weekly,Weekly,Enjoy both equally,3-5 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Passing time / boredom,Rarely
8/28/2025 17:19:10,18-25,Daily,Weekly,Enjoy both equally,Less than 1 hour,Books/long reads/stories (several hours),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:08:39,50+,Daily,Occasionally,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:15:16,26-35,Never,Never,None,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Relaxation / stress relief,Never
8/28/2025 20:17:22,18-25,Weekly,Daily,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,I don’t engage much,Never
8/28/2025 20:17:56,50+,Weekly,Weekly,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Relaxation / stress relief,Sometimes
8/28/2025 20:18:20,36-50,Never,Daily,Watching,3-5 hours,TV episodes (20–40 mins),I don’t read at all,Passing time / boredom,"Yes, many times"
8/28/2025 20:20:52,26-35,Weekly,Daily,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:20:57,36-50,Daily,Daily,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 20:23:50,18-25,Daily,Weekly,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:24:24,26-35,Weekly,Daily,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Magazines or blogs,Learning / gaining knowledge,"Yes, many times"
8/28/2025 20:25:15,18-25,Never,Daily,Watching,More than 5 hours,TV episodes (20–40 mins),I don’t read at all,Relaxation / stress relief,Sometimes
8/28/2025 20:27:45,18-25,Never,Daily,Watching,3-5 hours,TV episodes (20–40 mins),Fiction books,Passing time / boredom,Never
8/28/2025 20:28:03,26-35,Daily,Weekly,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Relaxation / stress relief,Sometimes
